"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"1","ALX-1-1-A","ALX","ALEXANDRINA","1","1","A",3.14613334778911,-44.2506236798514,1.82253550909306,-49.7576389999681,292.787118824852,-6.83214766480197,402.178205123756,-6.52239782237048,"ALX-1-1-A","ALX-1-1-A","gleon",19,19,101.325,0.14,0.035,0,255.06924922422,19.9256634459569,14.7236970222411,2.43675174093921,10.2860848787518,0.803534985475207,0.023405232668988,0.00387353402933327,63.4219472797467,807.868869977078,-8.10264559199904,0.490949356804699,-37.9580118145311,1.54191226280892
"2","ALX-1-2-A","ALX","ALEXANDRINA","1","2","A",30.9121757228608,-36.1451893632217,1.82253550909306,-49.7576389999681,171.848318446804,-4.55342259483629,402.178205123756,-6.52239782237048,"ALX-1-2-A","ALX-1-2-A","gleon",20,20,101.325,0.14,0.035,0,90.3485997781991,11.6574298585295,289.711212239116,24.562930343299,3.53825250012428,0.456530930675457,0.451246877418553,0.0382586008045655,22.4648174931303,15896.05309711,-2.55012692246932,0.925455745470765,-35.0533361799329,0.530788713597757
"3","ALX-1-3-A","ALX","ALEXANDRINA","1","3","A",10.6443430479505,-33.0649381693267,1.82253550909306,-49.7576389999681,185.259778999703,-4.15940042356386,402.178205123756,-6.52239782237048,"ALX-1-3-A","ALX-1-3-A","gleon",20,20,101.325,0.14,0.035,0,108.50555939666,12.4602892557942,89.1284794831474,8.41914425359905,4.24931949975006,0.487972693764135,0.138824271746303,0.0131134467513715,26.9794727845262,4890.35626677585,-2.1583003487899,0.821304678562401,-29.6981785470982,0.655802055702821
"4","ALX-1-4-A","ALX","ALEXANDRINA","1","4","A",5.5801333696606,-43.0416227949753,1.82253550909306,-49.7576389999681,193.198141484335,-4.25078478303251,402.178205123756,-6.52239782237048,"ALX-1-4-A","ALX-1-4-A","gleon",20.1,19.9,101.325,0.14,0.035,0,120.138741797741,13.0248011599258,39.1112310424938,4.45264047747247,4.69125764218911,0.508601114554411,0.0607962918850799,0.00692138863728482,29.872016998229,2145.97909600986,-2.64968451311744,0.765090203339996,-39.9208015074398,0.786894961173124
"5","ALX-1-5-A","ALX","ALEXANDRINA","1","5","A",5.26742985649604,-43.8692398581039,1.82253550909306,-49.7576389999681,191.505516953565,-4.53478731216831,402.178205123756,-6.52239782237048,"ALX-1-5-A","ALX-1-5-A","gleon",20.3,20.5,101.325,0.14,0.035,0,115.335320498144,12.9345977331591,36.0268314838618,4.17165913355001,4.47767188822489,0.502160868024776,0.0557777842437693,0.00645868352852327,28.6776655295515,1976.74236272026,-3.16111434922252,0.76692304646085,-40.8776257723408,0.794858260269963
"6","ALX-1-6-A","ALX","ALEXANDRINA","1","6","A",3.94396976973664,-29.6574820900198,1.82253550909306,-49.7576389999681,691.084964984752,-12.0071432713366,402.178205123756,-6.52239782237048,"ALX-1-6-A","ALX-1-6-A","gleon",20.5,20.4,101.325,0.14,0.035,0,796.657269748173,47.7137227623044,22.9892321818978,3.16537076891048,30.7505815763978,1.84172639832894,0.0354509164514223,0.00488121107214624,198.08563954952,1261.38734017522,-14.096168248633,0.376090211016749,-15.027713646048,2.31229296911567
"7","ALX-2-1-A","ALX","ALEXANDRINA","2","1","A",95.47381481357,-35.8907022889482,1.97314327525936,-50.2721429892266,252.287703453575,-5.81084892716735,401.891763397045,-6.68791934947143,"ALX-2-1-A","ALX-2-1-A","gleon",32,24.45,101.325,0.14,0.035,0,234.050869502719,21.3754914106996,1118.3720222562,91.0975204858199,6.67920208926639,0.610000839530237,1.41286864278995,0.115085881593026,58.2372894443948,56679.7168902596,-6.17024462217064,0.575597697341176,-35.2865515547312,0.506204591869673
"8","ALX-2-2-A","ALX","ALEXANDRINA","2","2","A",82.6092312020778,-37.5947219124819,1.97314327525936,-50.2721429892266,224.408195379897,-4.10337333782673,401.891763397045,-6.68791934947143,"ALX-2-2-A","ALX-2-2-A","gleon",30,24.45,101.325,0.14,0.035,0,178.103122218139,18.030396356698,935.68014325008,76.6611370740549,5.3348875253722,0.540081136158026,1.21886307273946,0.0998625756545627,44.3161911835909,47420.7907242362,-2.52547525673084,0.697281050993396,-36.9845885715203,0.50848962954716
"9","ALX-2-3-A","ALX","ALEXANDRINA","2","3","A",31.8062734109637,-46.7088945070207,1.97314327525936,-50.2721429892266,216.240615604301,-4.21104793855358,401.891763397045,-6.68791934947143,"ALX-2-3-A","ALX-2-3-A","gleon",30,24.45,101.325,0.14,0.035,0,164.955250821832,17.3809987904145,347.541173376081,29.200509535439,4.94105717459684,0.520629130307564,0.452724262174951,0.0380380229661563,41.0446955736354,17613.580206455,-2.54086514368246,0.742768380089356,-46.166911453262,0.529513008748077
"10","ALX-2-4-A","ALX","ALEXANDRINA","2","4","A",24.5543078921451,-47.6737251897098,1.97314327525936,-50.2721429892266,209.393317937047,-3.8338367654743,401.891763397045,-6.68791934947143,"ALX-2-4-A","ALX-2-4-A","gleon",28,24.45,101.325,0.14,0.035,0,146.408942372137,16.0907705621907,255.213619122396,22.264526590904,4.61088915466327,0.506750190755422,0.343360310184457,0.0299543370085459,36.4299435088183,12934.3683412371,-1.51795566297613,0.788670324270598,-47.1399047684361,0.535093897629152
