"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"1","BLU-1-1-A","BLU","BREITER LUZIN","1","1","A",29.4866469702124,-50.0508123466685,2.1021626441434,-52.77087898189,462.288569339275,-8.33296211371763,435.512055827723,-7.96635303017197,"BLU-1-1-A","BLU-1-1-A","gleon",20,20,101.325,0.14,0.035,0,471.763146649246,31.2918282293149,273.115585210807,23.2614296830741,18.4752960997296,1.22545772416663,0.425397947315197,0.0362314162011615,108.323785837025,12992.1243711424,-9.55071478425319,0.416138970458702,-49.5345505965225,0.528190987547931
"2","BLU-1-2-A","BLU","BREITER LUZIN","1","2","A",27.1569302862462,-49.9258254973898,2.1021626441434,-52.77087898189,421.983349477693,-8.15744255647795,435.512055827723,-7.96635303017197,"BLU-1-2-A","BLU-1-2-A","gleon",20,20,101.325,0.14,0.035,0,417.196364265374,28.6105206912941,250.059299592483,21.6630471951031,16.3383393049652,1.1204517459523,0.389486058335382,0.0337418159504743,95.7944467168563,11895.33551503,-9.32602592261472,0.430104687866636,-49.3830419502403,0.541796118691399
"3","BLU-1-3-A","BLU","BREITER LUZIN","1","3","A",3.08164729471084,-53.7467261593349,2.1021626441434,-52.77087898189,346.115656839852,-12.6976192962069,435.512055827723,-7.96635303017197,"BLU-1-3-A","BLU-1-3-A","gleon",20,20,101.325,0.14,0.035,0,314.483715919756,23.4120008916717,11.7957352650853,2.43792642734239,12.3158831108963,0.916866126218128,0.0183727397503429,0.00379725271663438,72.2101057161452,561.123816843956,-16.1140025162434,0.497568763806826,-54.9639295658653,1.40355639150814
"4","BLU-1-4-A","BLU","BREITER LUZIN","1","4","A",16.2992980197876,-51.9456297581813,2.1021626441434,-52.77087898189,346.022948506269,-12.3106970281762,435.512055827723,-7.96635303017197,"BLU-1-4-A","BLU-1-4-A","gleon",20,20,101.325,0.14,0.035,0,314.358203753313,23.2852513401644,142.605602584138,12.9206378455628,12.3109677747671,0.911902331332416,0.222118889949525,0.0201248596386875,72.1812862690682,6783.75686017617,-15.5383331546126,0.492226467301675,-51.5074018770405,0.568606590069021
"5","BLU-1-5-B","BLU","BREITER LUZIN","1","5","B",11.7917026967931,-53.3493431425271,2.1021626441434,-52.77087898189,395.118729150049,-7.28006877330886,435.512055827723,-7.96635303017197,"BLU-1-5-B","BLU-1-5-B","gleon",20,20,101.325,0.14,0.035,0,380.825990991684,26.9831662359086,97.9957124914748,9.29558898015302,14.9139944398316,1.05672091908291,0.152635650240857,0.0144785749527647,87.4432718671579,4661.66177790714,-8.10036393081861,0.441762164904801,-53.129740836485,0.595136398665151
"6","BLU-2-1-A","BLU","BREITER LUZIN","2","1","A",20.17311182,-52.3703092732268,2.04885618596955,-51.637094287854,376.795653992628,-7.81487739804124,397.430882933564,-7.67650406749728,"BLU-2-1-A","BLU-2-1-A","gleon",20,20,101.325,0.14,0.035,0,369.494103257672,25.5268113535115,181.417453832914,15.9198063068573,14.4702124641903,0.99968681654718,0.282571250586462,0.0247962887924005,92.9706570688009,8854.57237434477,-8.96554121220018,0.431739735466955,-52.1139788280884,0.550613865217406
"7","BLU-2-2-A","BLU","BREITER LUZIN","2","2","A",26.6815025965182,-52.5485583313886,2.04885618596955,-51.637094287854,377.877106992228,-7.97186504891918,397.430882933564,-7.67650406749728,"BLU-2-2-A","BLU-2-2-A","gleon",20,20,101.325,0.14,0.035,0,370.958216608007,25.693283942191,245.828426073364,21.2952106609403,14.5275504056195,1.00620625408737,0.382896156448259,0.0331688830420149,93.3390515276131,11998.3251024051,-9.18183347014686,0.436318757191678,-52.2861422269185,0.534845411585071
"8","BLU-2-3-A","BLU","BREITER LUZIN","2","3","A",26.078889973399,-52.9049560461347,2.04885618596955,-51.637094287854,411.099122539223,-5.89012950857462,397.430882933564,-7.67650406749728,"BLU-2-3-A","BLU-2-3-A","gleon",20,20,101.325,0.14,0.035,0,415.935480072446,27.9291542324143,239.864607016968,20.6098987576657,16.2889602702159,1.09376791706563,0.373607062298644,0.0321014585056281,104.656054155201,11707.2446889902,-6.38416143192409,0.423506986969562,-52.6713037818146,0.537697828940466
"9","BLU-2-4-A","BLU","BREITER LUZIN","2","4","A",16.6672155266166,-51.0171947379223,2.04885618596955,-51.637094287854,360.938974970674,-7.32743734972487,397.430882933564,-7.67650406749728,"BLU-2-4-A","BLU-2-4-A","gleon",20,20,101.325,0.14,0.035,0,348.026711279824,24.5989762136213,146.720983294335,13.1318846392891,13.6295015564038,0.963350724881352,0.228528903150298,0.0204538923167704,87.5691160965972,7161.11673913824,-8.28439053203372,0.439416265693891,-50.6101815904976,0.56246111000956
"10","BLU-2-5-A","BLU","BREITER LUZIN","2","5","A",22.7386912826166,-52.6802082431606,2.04885618596955,-51.637094287854,344.066983530207,-7.42589267331813,397.430882933564,-7.67650406749728,"BLU-2-5-A","BLU-2-5-A","gleon",20,20,101.325,0.14,0.035,0,325.184749656089,23.2499938276586,206.807980189058,17.8913381931389,12.7349594381935,0.910521568574852,0.322118894067954,0.0278670971347488,81.821711301295,10093.8260872221,-8.41551543759491,0.448259825578771,-52.4421473421343,0.545762182474746
